CID,XLogP,HBondDonorCount,HBondAcceptorCount,SMILES
702,-0.1,1,1,CCO
241,2.1,0,0,c1ccccc1
176,-0.2,1,2,CC(=O)O
8471,1.4,0,1,CCN(CC)CC
1049,0.7,0,1,C1=CC=CN=C1
